userId,movieId,movie,rating
4,588,Aladdin (1992),4
5,588,Aladdin (1992),4
6,588,Aladdin (1992),5
7,588,Aladdin (1992),3
10,588,Aladdin (1992),4
15,588,Aladdin (1992),3
18,588,Aladdin (1992),3.5
19,588,Aladdin (1992),3
20,588,Aladdin (1992),5
21,588,Aladdin (1992),4
31,588,Aladdin (1992),5
33,588,Aladdin (1992),5
38,588,Aladdin (1992),3
39,588,Aladdin (1992),4
40,588,Aladdin (1992),4
43,588,Aladdin (1992),5
45,588,Aladdin (1992),5
46,588,Aladdin (1992),5
52,588,Aladdin (1992),5
54,588,Aladdin (1992),3
57,588,Aladdin (1992),4
58,588,Aladdin (1992),5
63,588,Aladdin (1992),4
64,588,Aladdin (1992),4
68,588,Aladdin (1992),3.5
86,588,Aladdin (1992),4
91,588,Aladdin (1992),3.5
93,588,Aladdin (1992),4
94,588,Aladdin (1992),4
99,588,Aladdin (1992),5
102,588,Aladdin (1992),4
104,588,Aladdin (1992),4
109,588,Aladdin (1992),3
111,588,Aladdin (1992),4.5
115,588,Aladdin (1992),4
117,588,Aladdin (1992),4
126,588,Aladdin (1992),3
129,588,Aladdin (1992),3.5
132,588,Aladdin (1992),3.5
133,588,Aladdin (1992),3
134,588,Aladdin (1992),3
136,588,Aladdin (1992),3
137,588,Aladdin (1992),4
140,588,Aladdin (1992),3
141,588,Aladdin (1992),4
142,588,Aladdin (1992),5
144,588,Aladdin (1992),4.5
145,588,Aladdin (1992),4
155,588,Aladdin (1992),3
166,588,Aladdin (1992),5
167,588,Aladdin (1992),3
169,588,Aladdin (1992),5
170,588,Aladdin (1992),3
173,588,Aladdin (1992),3
174,588,Aladdin (1992),4
176,588,Aladdin (1992),3
177,588,Aladdin (1992),4
181,588,Aladdin (1992),4
185,588,Aladdin (1992),4
186,588,Aladdin (1992),5
200,588,Aladdin (1992),4
202,588,Aladdin (1992),4
216,588,Aladdin (1992),4
219,588,Aladdin (1992),4.5
220,588,Aladdin (1992),5
225,588,Aladdin (1992),4
226,588,Aladdin (1992),4
232,588,Aladdin (1992),3
234,588,Aladdin (1992),5
235,588,Aladdin (1992),4
239,588,Aladdin (1992),4
240,588,Aladdin (1992),4
242,588,Aladdin (1992),3
243,588,Aladdin (1992),3
247,588,Aladdin (1992),5
249,588,Aladdin (1992),4
273,588,Aladdin (1992),5
274,588,Aladdin (1992),4
282,588,Aladdin (1992),4.5
284,588,Aladdin (1992),5
288,588,Aladdin (1992),4
292,588,Aladdin (1992),4
294,588,Aladdin (1992),3
304,588,Aladdin (1992),4
307,588,Aladdin (1992),4
314,588,Aladdin (1992),3
319,588,Aladdin (1992),5
321,588,Aladdin (1992),3
323,588,Aladdin (1992),4
328,588,Aladdin (1992),3.5
330,588,Aladdin (1992),3
347,588,Aladdin (1992),4
349,588,Aladdin (1992),4
353,588,Aladdin (1992),3
354,588,Aladdin (1992),3.5
357,588,Aladdin (1992),4.5
372,588,Aladdin (1992),4
374,588,Aladdin (1992),3
380,588,Aladdin (1992),5
381,588,Aladdin (1992),4
382,588,Aladdin (1992),5
385,588,Aladdin (1992),4
401,588,Aladdin (1992),3
402,588,Aladdin (1992),4
404,588,Aladdin (1992),4
414,588,Aladdin (1992),4
415,588,Aladdin (1992),4
420,588,Aladdin (1992),4
425,588,Aladdin (1992),3
426,588,Aladdin (1992),4.5
429,588,Aladdin (1992),5
434,588,Aladdin (1992),4
436,588,Aladdin (1992),3
438,588,Aladdin (1992),4
446,588,Aladdin (1992),3
447,588,Aladdin (1992),5
453,588,Aladdin (1992),5
455,588,Aladdin (1992),3
458,588,Aladdin (1992),4
468,588,Aladdin (1992),3
470,588,Aladdin (1992),3
474,588,Aladdin (1992),4
475,588,Aladdin (1992),5
476,588,Aladdin (1992),5
477,588,Aladdin (1992),3
480,588,Aladdin (1992),4
483,588,Aladdin (1992),4
484,588,Aladdin (1992),4.5
485,588,Aladdin (1992),4
486,588,Aladdin (1992),3
489,588,Aladdin (1992),3.5
495,588,Aladdin (1992),4
498,588,Aladdin (1992),5
500,588,Aladdin (1992),4
509,588,Aladdin (1992),3.5
512,588,Aladdin (1992),3
514,588,Aladdin (1992),4
517,588,Aladdin (1992),3
522,588,Aladdin (1992),4
524,588,Aladdin (1992),4
525,588,Aladdin (1992),3.5
527,588,Aladdin (1992),5
534,588,Aladdin (1992),4.5
538,588,Aladdin (1992),5
541,588,Aladdin (1992),3
543,588,Aladdin (1992),5
554,588,Aladdin (1992),5
556,588,Aladdin (1992),5
559,588,Aladdin (1992),4
562,588,Aladdin (1992),4
563,588,Aladdin (1992),4
565,588,Aladdin (1992),3
566,588,Aladdin (1992),3
569,588,Aladdin (1992),4
573,588,Aladdin (1992),4.5
574,588,Aladdin (1992),5
583,588,Aladdin (1992),3.5
584,588,Aladdin (1992),4
586,588,Aladdin (1992),4.5
590,588,Aladdin (1992),4
592,588,Aladdin (1992),5
593,588,Aladdin (1992),3.5
594,588,Aladdin (1992),4.5
597,588,Aladdin (1992),4
599,588,Aladdin (1992),3
600,588,Aladdin (1992),3.5
604,588,Aladdin (1992),3
605,588,Aladdin (1992),3.5
608,588,Aladdin (1992),3
1,1,Toy Story (1995),4
5,1,Toy Story (1995),4
7,1,Toy Story (1995),4.5
17,1,Toy Story (1995),4.5
18,1,Toy Story (1995),3.5
19,1,Toy Story (1995),4
21,1,Toy Story (1995),3.5
27,1,Toy Story (1995),3
31,1,Toy Story (1995),5
32,1,Toy Story (1995),3
33,1,Toy Story (1995),3
40,1,Toy Story (1995),5
43,1,Toy Story (1995),5
44,1,Toy Story (1995),3
45,1,Toy Story (1995),4
46,1,Toy Story (1995),5
50,1,Toy Story (1995),3
54,1,Toy Story (1995),3
57,1,Toy Story (1995),5
63,1,Toy Story (1995),5
64,1,Toy Story (1995),4
66,1,Toy Story (1995),4
71,1,Toy Story (1995),5
73,1,Toy Story (1995),4.5
78,1,Toy Story (1995),4
86,1,Toy Story (1995),4
89,1,Toy Story (1995),3
90,1,Toy Story (1995),3
91,1,Toy Story (1995),4
93,1,Toy Story (1995),3
96,1,Toy Story (1995),5
98,1,Toy Story (1995),4.5
103,1,Toy Story (1995),4
107,1,Toy Story (1995),4
112,1,Toy Story (1995),3
119,1,Toy Story (1995),3.5
121,1,Toy Story (1995),4
124,1,Toy Story (1995),4
130,1,Toy Story (1995),3
134,1,Toy Story (1995),3
135,1,Toy Story (1995),4
137,1,Toy Story (1995),4
140,1,Toy Story (1995),3
141,1,Toy Story (1995),4
144,1,Toy Story (1995),3.5
145,1,Toy Story (1995),5
151,1,Toy Story (1995),5
155,1,Toy Story (1995),3
156,1,Toy Story (1995),4
159,1,Toy Story (1995),4.5
160,1,Toy Story (1995),4
161,1,Toy Story (1995),4
166,1,Toy Story (1995),5
167,1,Toy Story (1995),3.5
169,1,Toy Story (1995),4.5
171,1,Toy Story (1995),5
177,1,Toy Story (1995),5
178,1,Toy Story (1995),4
179,1,Toy Story (1995),4
182,1,Toy Story (1995),4
185,1,Toy Story (1995),4
186,1,Toy Story (1995),4
191,1,Toy Story (1995),4
200,1,Toy Story (1995),3.5
201,1,Toy Story (1995),5
202,1,Toy Story (1995),4
206,1,Toy Story (1995),5
213,1,Toy Story (1995),3.5
214,1,Toy Story (1995),3
216,1,Toy Story (1995),3
217,1,Toy Story (1995),4
219,1,Toy Story (1995),3.5
220,1,Toy Story (1995),5
223,1,Toy Story (1995),3.5
226,1,Toy Story (1995),3.5
229,1,Toy Story (1995),5
232,1,Toy Story (1995),3.5
233,1,Toy Story (1995),3
234,1,Toy Story (1995),5
239,1,Toy Story (1995),4
240,1,Toy Story (1995),5
247,1,Toy Story (1995),5
249,1,Toy Story (1995),4
252,1,Toy Story (1995),4.5
254,1,Toy Story (1995),4.5
263,1,Toy Story (1995),4
264,1,Toy Story (1995),4
269,1,Toy Story (1995),5
270,1,Toy Story (1995),5
273,1,Toy Story (1995),5
274,1,Toy Story (1995),4
275,1,Toy Story (1995),5
276,1,Toy Story (1995),4
277,1,Toy Story (1995),4
279,1,Toy Story (1995),3
280,1,Toy Story (1995),4.5
282,1,Toy Story (1995),4.5
283,1,Toy Story (1995),3
288,1,Toy Story (1995),4.5
290,1,Toy Story (1995),4
291,1,Toy Story (1995),4
292,1,Toy Story (1995),4
293,1,Toy Story (1995),3
304,1,Toy Story (1995),5
307,1,Toy Story (1995),4
314,1,Toy Story (1995),3
322,1,Toy Story (1995),3.5
323,1,Toy Story (1995),3.5
328,1,Toy Story (1995),5
330,1,Toy Story (1995),4
332,1,Toy Story (1995),4
334,1,Toy Story (1995),3.5
336,1,Toy Story (1995),4
337,1,Toy Story (1995),4
339,1,Toy Story (1995),4
341,1,Toy Story (1995),5
347,1,Toy Story (1995),5
350,1,Toy Story (1995),4
353,1,Toy Story (1995),5
357,1,Toy Story (1995),5
359,1,Toy Story (1995),4
364,1,Toy Story (1995),5
367,1,Toy Story (1995),5
372,1,Toy Story (1995),3
373,1,Toy Story (1995),3
378,1,Toy Story (1995),4.5
380,1,Toy Story (1995),5
381,1,Toy Story (1995),3.5
382,1,Toy Story (1995),4.5
385,1,Toy Story (1995),4
389,1,Toy Story (1995),5
391,1,Toy Story (1995),3
396,1,Toy Story (1995),5
399,1,Toy Story (1995),4
401,1,Toy Story (1995),3.5
411,1,Toy Story (1995),5
414,1,Toy Story (1995),4
420,1,Toy Story (1995),4
422,1,Toy Story (1995),4
434,1,Toy Story (1995),4
436,1,Toy Story (1995),4
438,1,Toy Story (1995),4.5
443,1,Toy Story (1995),4
448,1,Toy Story (1995),5
451,1,Toy Story (1995),5
453,1,Toy Story (1995),5
456,1,Toy Story (1995),5
460,1,Toy Story (1995),4.5
468,1,Toy Story (1995),4
469,1,Toy Story (1995),4
470,1,Toy Story (1995),4
471,1,Toy Story (1995),5
474,1,Toy Story (1995),4
476,1,Toy Story (1995),4
477,1,Toy Story (1995),4
480,1,Toy Story (1995),3
483,1,Toy Story (1995),4
484,1,Toy Story (1995),4.5
488,1,Toy Story (1995),4.5
490,1,Toy Story (1995),3.5
492,1,Toy Story (1995),4
500,1,Toy Story (1995),4
504,1,Toy Story (1995),4
509,1,Toy Story (1995),4
514,1,Toy Story (1995),4
517,1,Toy Story (1995),4
522,1,Toy Story (1995),3
524,1,Toy Story (1995),4
525,1,Toy Story (1995),4
529,1,Toy Story (1995),3
533,1,Toy Story (1995),5
534,1,Toy Story (1995),4
541,1,Toy Story (1995),3
544,1,Toy Story (1995),3
550,1,Toy Story (1995),4
555,1,Toy Story (1995),4
559,1,Toy Story (1995),5
560,1,Toy Story (1995),3
561,1,Toy Story (1995),4
562,1,Toy Story (1995),4.5
567,1,Toy Story (1995),3.5
570,1,Toy Story (1995),4
572,1,Toy Story (1995),4
573,1,Toy Story (1995),5
579,1,Toy Story (1995),4
580,1,Toy Story (1995),3
584,1,Toy Story (1995),5
587,1,Toy Story (1995),5
590,1,Toy Story (1995),4
596,1,Toy Story (1995),4
597,1,Toy Story (1995),4
599,1,Toy Story (1995),3
601,1,Toy Story (1995),4
603,1,Toy Story (1995),4
604,1,Toy Story (1995),3
605,1,Toy Story (1995),4
607,1,Toy Story (1995),4
609,1,Toy Story (1995),3
610,1,Toy Story (1995),5
1,1073,Willy Wonka & the Chocolate Factory (1971),5
4,1073,Willy Wonka & the Chocolate Factory (1971),4
6,1073,Willy Wonka & the Chocolate Factory (1971),3
19,1073,Willy Wonka & the Chocolate Factory (1971),4
20,1073,Willy Wonka & the Chocolate Factory (1971),5
31,1073,Willy Wonka & the Chocolate Factory (1971),4
32,1073,Willy Wonka & the Chocolate Factory (1971),5
37,1073,Willy Wonka & the Chocolate Factory (1971),4
39,1073,Willy Wonka & the Chocolate Factory (1971),3
43,1073,Willy Wonka & the Chocolate Factory (1971),5
45,1073,Willy Wonka & the Chocolate Factory (1971),4
58,1073,Willy Wonka & the Chocolate Factory (1971),5
63,1073,Willy Wonka & the Chocolate Factory (1971),3
64,1073,Willy Wonka & the Chocolate Factory (1971),4
66,1073,Willy Wonka & the Chocolate Factory (1971),4.5
68,1073,Willy Wonka & the Chocolate Factory (1971),0.5
71,1073,Willy Wonka & the Chocolate Factory (1971),3
84,1073,Willy Wonka & the Chocolate Factory (1971),4
90,1073,Willy Wonka & the Chocolate Factory (1971),4
91,1073,Willy Wonka & the Chocolate Factory (1971),3
103,1073,Willy Wonka & the Chocolate Factory (1971),4
113,1073,Willy Wonka & the Chocolate Factory (1971),5
120,1073,Willy Wonka & the Chocolate Factory (1971),2
122,1073,Willy Wonka & the Chocolate Factory (1971),5
129,1073,Willy Wonka & the Chocolate Factory (1971),4
132,1073,Willy Wonka & the Chocolate Factory (1971),3.5
135,1073,Willy Wonka & the Chocolate Factory (1971),5
140,1073,Willy Wonka & the Chocolate Factory (1971),4
150,1073,Willy Wonka & the Chocolate Factory (1971),3
151,1073,Willy Wonka & the Chocolate Factory (1971),4
167,1073,Willy Wonka & the Chocolate Factory (1971),4.5
169,1073,Willy Wonka & the Chocolate Factory (1971),5
171,1073,Willy Wonka & the Chocolate Factory (1971),5
177,1073,Willy Wonka & the Chocolate Factory (1971),5
181,1073,Willy Wonka & the Chocolate Factory (1971),3
182,1073,Willy Wonka & the Chocolate Factory (1971),4
186,1073,Willy Wonka & the Chocolate Factory (1971),5
200,1073,Willy Wonka & the Chocolate Factory (1971),4
206,1073,Willy Wonka & the Chocolate Factory (1971),3
214,1073,Willy Wonka & the Chocolate Factory (1971),3
217,1073,Willy Wonka & the Chocolate Factory (1971),3
219,1073,Willy Wonka & the Chocolate Factory (1971),2.5
226,1073,Willy Wonka & the Chocolate Factory (1971),5
230,1073,Willy Wonka & the Chocolate Factory (1971),3
232,1073,Willy Wonka & the Chocolate Factory (1971),4
234,1073,Willy Wonka & the Chocolate Factory (1971),4
240,1073,Willy Wonka & the Chocolate Factory (1971),5
247,1073,Willy Wonka & the Chocolate Factory (1971),4
260,1073,Willy Wonka & the Chocolate Factory (1971),4
269,1073,Willy Wonka & the Chocolate Factory (1971),4
270,1073,Willy Wonka & the Chocolate Factory (1971),5
274,1073,Willy Wonka & the Chocolate Factory (1971),3.5
277,1073,Willy Wonka & the Chocolate Factory (1971),3
282,1073,Willy Wonka & the Chocolate Factory (1971),4
288,1073,Willy Wonka & the Chocolate Factory (1971),4
292,1073,Willy Wonka & the Chocolate Factory (1971),4.5
304,1073,Willy Wonka & the Chocolate Factory (1971),4
305,1073,Willy Wonka & the Chocolate Factory (1971),5
307,1073,Willy Wonka & the Chocolate Factory (1971),4
313,1073,Willy Wonka & the Chocolate Factory (1971),3
316,1073,Willy Wonka & the Chocolate Factory (1971),3
328,1073,Willy Wonka & the Chocolate Factory (1971),5
330,1073,Willy Wonka & the Chocolate Factory (1971),5
337,1073,Willy Wonka & the Chocolate Factory (1971),5
350,1073,Willy Wonka & the Chocolate Factory (1971),3
351,1073,Willy Wonka & the Chocolate Factory (1971),4
357,1073,Willy Wonka & the Chocolate Factory (1971),3.5
359,1073,Willy Wonka & the Chocolate Factory (1971),4
364,1073,Willy Wonka & the Chocolate Factory (1971),5
372,1073,Willy Wonka & the Chocolate Factory (1971),3
380,1073,Willy Wonka & the Chocolate Factory (1971),4
381,1073,Willy Wonka & the Chocolate Factory (1971),4
385,1073,Willy Wonka & the Chocolate Factory (1971),4
387,1073,Willy Wonka & the Chocolate Factory (1971),4.5
408,1073,Willy Wonka & the Chocolate Factory (1971),3.5
409,1073,Willy Wonka & the Chocolate Factory (1971),4
410,1073,Willy Wonka & the Chocolate Factory (1971),5
412,1073,Willy Wonka & the Chocolate Factory (1971),1
414,1073,Willy Wonka & the Chocolate Factory (1971),4
419,1073,Willy Wonka & the Chocolate Factory (1971),0.5
428,1073,Willy Wonka & the Chocolate Factory (1971),3.5
434,1073,Willy Wonka & the Chocolate Factory (1971),4.5
448,1073,Willy Wonka & the Chocolate Factory (1971),4
450,1073,Willy Wonka & the Chocolate Factory (1971),4
451,1073,Willy Wonka & the Chocolate Factory (1971),4
456,1073,Willy Wonka & the Chocolate Factory (1971),3
458,1073,Willy Wonka & the Chocolate Factory (1971),2
469,1073,Willy Wonka & the Chocolate Factory (1971),5
470,1073,Willy Wonka & the Chocolate Factory (1971),4
474,1073,Willy Wonka & the Chocolate Factory (1971),3.5
478,1073,Willy Wonka & the Chocolate Factory (1971),4
480,1073,Willy Wonka & the Chocolate Factory (1971),3.5
483,1073,Willy Wonka & the Chocolate Factory (1971),3
484,1073,Willy Wonka & the Chocolate Factory (1971),4
489,1073,Willy Wonka & the Chocolate Factory (1971),3.5
492,1073,Willy Wonka & the Chocolate Factory (1971),3
509,1073,Willy Wonka & the Chocolate Factory (1971),3.5
521,1073,Willy Wonka & the Chocolate Factory (1971),4
525,1073,Willy Wonka & the Chocolate Factory (1971),3.5
527,1073,Willy Wonka & the Chocolate Factory (1971),5
529,1073,Willy Wonka & the Chocolate Factory (1971),3
540,1073,Willy Wonka & the Chocolate Factory (1971),4
542,1073,Willy Wonka & the Chocolate Factory (1971),5
552,1073,Willy Wonka & the Chocolate Factory (1971),4.5
558,1073,Willy Wonka & the Chocolate Factory (1971),5
559,1073,Willy Wonka & the Chocolate Factory (1971),3
561,1073,Willy Wonka & the Chocolate Factory (1971),4.5
563,1073,Willy Wonka & the Chocolate Factory (1971),4
573,1073,Willy Wonka & the Chocolate Factory (1971),4.5
586,1073,Willy Wonka & the Chocolate Factory (1971),4.5
587,1073,Willy Wonka & the Chocolate Factory (1971),4
590,1073,Willy Wonka & the Chocolate Factory (1971),3
593,1073,Willy Wonka & the Chocolate Factory (1971),2.5
597,1073,Willy Wonka & the Chocolate Factory (1971),5
599,1073,Willy Wonka & the Chocolate Factory (1971),3
600,1073,Willy Wonka & the Chocolate Factory (1971),5
603,1073,Willy Wonka & the Chocolate Factory (1971),3
605,1073,Willy Wonka & the Chocolate Factory (1971),4
608,1073,Willy Wonka & the Chocolate Factory (1971),3.5